datetime,bitcoin,ethereum,dogcoin,bnb
15/08/2024 14:22:57,58017.05,2611.83,0.1022,515.98
15/08/2024 14:23:07,58011.24,2611.44,0.1022,515.98
15/08/2024 14:23:18,58009.58,2611.35,0.1022,515.94
15/08/2024 14:23:28,58011.9,2611.64,0.1022,515.9
15/08/2024 14:23:38,58024.87,2612.41,0.1022,515.9
15/08/2024 14:23:48,58021.55,2612.24,0.1022,515.86
15/08/2024 14:23:58,58012.91,2611.7,0.1022,515.86
15/08/2024 14:24:08,58010.49,2611.4,0.1022,515.86
15/08/2024 14:24:18,58007.62,2611.24,0.1022,515.91
15/08/2024 14:24:29,58007.75,2611.17,0.1022,515.9
15/08/2024 14:24:39,57981.39,2609.68,0.1022,515.96
15/08/2024 14:24:49,57971.18,2609.73,0.1022,515.96
15/08/2024 14:24:59,57956.74,2610.27,0.1022,515.96
15/08/2024 14:25:09,57945.67,2609.73,0.1022,515.81
15/08/2024 14:25:19,57950.3,2610.53,0.1022,515.81
15/08/2024 14:25:30,57925.44,2610.09,0.1022,515.82
15/08/2024 14:25:40,57919.52,2610.06,0.1022,515.84
15/08/2024 14:25:50,57929.02,2610.41,0.1022,515.84
15/08/2024 14:26:00,57923.2,2610.12,0.1022,515.83
15/08/2024 14:26:10,57923.59,2610.49,0.1022,515.83
15/08/2024 14:26:20,57925.61,2610.11,0.1022,515.86
15/08/2024 14:26:30,57923.08,2609.75,0.1022,515.88
15/08/2024 14:26:41,57916.98,2609.42,0.1022,515.85
15/08/2024 14:26:51,57914.24,2609.47,0.1022,515.85
15/08/2024 14:27:01,57907.98,2608.92,0.1022,515.83
15/08/2024 14:27:11,57914.42,2608.98,0.1022,515.83
15/08/2024 14:27:21,57908.9,2608.55,0.1022,515.63
15/08/2024 14:27:31,57914.43,2608.85,0.1022,515.61
15/08/2024 14:27:42,57913.9,2608.57,0.1022,515.61
15/08/2024 14:27:52,57916.37,2608.55,0.1022,515.62
15/08/2024 14:28:02,57915.75,2608.96,0.1022,515.61
15/08/2024 14:28:12,57924.05,2609.16,0.1022,515.61
15/08/2024 14:28:22,57923.14,2608.98,0.1022,515.61
15/08/2024 14:28:32,57920.61,2608.87,0.1022,515.61
15/08/2024 14:28:42,57908.35,2608.36,0.1022,515.59
15/08/2024 14:28:53,57911.61,2608.42,0.1022,515.59
15/08/2024 14:29:03,57919.31,2607.54,0.1022,515.57
